"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.6207789467763e-56,0.89723082037182,0.655,0.436,2.19226560340963e-52,"E11.5","Gldc"
1.79903353082316e-56,1.4002515973077,0.295,0.113,2.43337275379141e-52,"E11.5","Haspin"
1.90009855583833e-56,0.986258513704606,0.602,0.391,2.57007330662693e-52,"E11.5","Insig1"
2.47736260112906e-56,1.17320346957555,0.4,0.188,3.35088065428716e-52,"E11.5","Smim15"
3.00267690712228e-56,0.757790897282319,0.706,0.474,4.0614207845736e-52,"E11.5","Pcbp1"
3.15746895577962e-56,0.878087599545805,0.704,0.503,4.27079250958752e-52,"E11.5","Gtf2h5"
3.61791359837966e-56,0.770758835562572,0.803,0.64,4.89358993316833e-52,"E11.5","Plxnb1"
3.6483159188942e-56,1.25010307588633,0.381,0.176,4.93471211189629e-52,"E11.5","Rfk"
3.65758038502257e-56,1.1090774474523,0.59,0.382,4.94724322878153e-52,"E11.5","Parvb"
3.76694670383861e-56,0.831236674832971,0.727,0.497,5.0951721116121e-52,"E11.5","Ndc80"
4.59343256363282e-56,1.26361238299243,0.515,0.304,6.21307688556976e-52,"E11.5","Slc39a8"
5.53589083777542e-56,0.838186415342978,0.657,0.448,7.48784594717503e-52,"E11.5","Rbm8a"
9.12084023119022e-56,0.838284394748172,0.762,0.59,1.23368484967079e-51,"E11.5","Tagln3"
1.20946583254825e-55,1.71457221130004,0.267,0.099,1.63592348510476e-51,"E11.5","Snip1"
1.24244149325155e-55,0.751334168630026,0.877,0.746,1.68052636377205e-51,"E11.5","Rfwd3"
1.40761180904514e-55,1.30603597285595,0.355,0.157,1.90393573291446e-51,"E11.5","Tubg1"
1.60896853195051e-55,1.00841200716753,0.515,0.285,2.17629083631626e-51,"E11.5","Sdc1"
2.07542587573542e-55,0.976659792125465,0.705,0.487,2.80722103951973e-51,"E11.5","Arid3a"
2.23033739662878e-55,0.849018747995855,0.695,0.484,3.01675436268009e-51,"E11.5","Uqcrc1"
2.51109469541151e-55,0.981456627890351,0.563,0.338,3.39650668501361e-51,"E11.5","Cops9"
2.60311035020907e-55,0.936794665700286,0.66,0.437,3.52096705969278e-51,"E11.5","Ncapg"
2.61721739433915e-55,0.783303263090878,0.803,0.591,3.54004824758314e-51,"E11.5","Brca1"
2.8683736701512e-55,1.40412834565504,0.294,0.114,3.87976222624652e-51,"E11.5","Nkx6-1"
3.06369268714782e-55,1.11630773716886,0.53,0.31,4.14395072863614e-51,"E11.5","Mthfd2"
3.22920754011749e-55,0.950463671113319,0.675,0.466,4.36782611876291e-51,"E11.5","Bard1"
3.56846929515127e-55,1.42588879156255,0.331,0.14,4.82671156862161e-51,"E11.5","Cenpl"
4.22918866150689e-55,1.41559029114726,0.331,0.141,5.72040058355422e-51,"E11.5","Tinf2"
4.74904850240048e-55,1.37567888700572,0.322,0.132,6.42356300434688e-51,"E11.5","Polr2e"
4.82121781266301e-55,0.959662950258481,0.528,0.303,6.52117921340798e-51,"E11.5","Ccne2"
5.70029479825221e-55,0.990274241240107,0.527,0.308,7.71021874411594e-51,"E11.5","Mrpl18"
6.09008453528508e-55,0.918587785612869,0.619,0.393,8.2374483424266e-51,"E11.5","Mphosph10"
7.83450802318841e-55,0.820681698356294,0.698,0.493,1.05969555521646e-50,"E11.5","Ndufb8"
7.91081279631831e-55,0.881590654048763,0.685,0.48,1.07001653883001e-50,"E11.5","Zfp553"
8.88662812177093e-55,0.78386275257145,0.801,0.606,1.20200531975074e-50,"E11.5","Polr2b"
9.33880963366319e-55,1.50179298795695,0.268,0.097,1.26316739104928e-50,"E11.5","Emc6"
9.79849003128908e-55,0.889798190986945,0.677,0.454,1.32534376163216e-50,"E11.5","Atxn7l3"
1.06650087732707e-54,1.08798687029806,0.495,0.275,1.44254908667259e-50,"E11.5","Txndc17"
1.07446387393454e-54,1.07621091922223,0.894,0.782,1.45331983588386e-50,"E11.5","Rgmb"
1.43218292363063e-54,0.888449139383909,0.682,0.487,1.93717062250279e-50,"E11.5","Sox13"
1.6673670491555e-54,1.13494336599001,0.629,0.399,2.25528067068773e-50,"E11.5","Isl1"
2.03683983788497e-54,0.932198599911606,0.685,0.459,2.75502956472321e-50,"E11.5","Wee1"
2.44036800246416e-54,0.811886833864988,0.746,0.522,3.30084176013302e-50,"E11.5","Cenpa"
2.76027077770612e-54,1.11688325867369,0.609,0.345,3.7335422539253e-50,"E11.5","Pax5"
3.03003137801167e-54,1.45989916573342,0.317,0.133,4.09842044189858e-50,"E11.5","Vamp3"
3.15048323729201e-54,1.23714798276727,0.41,0.203,4.26134362676117e-50,"E11.5","Sf3b4"
3.52744529421067e-54,1.17046457856613,0.57,0.36,4.77122250494935e-50,"E11.5","Chrna4"
3.75208786353267e-54,1.1353596410364,0.492,0.281,5.07507404421428e-50,"E11.5","D8Ertd738e"
4.80979348116329e-54,0.878716331923453,0.628,0.404,6.50572666262146e-50,"E11.5","Fanca"
5.02846844228987e-54,1.00185170720522,0.536,0.314,6.80150641504127e-50,"E11.5","Chek1"
5.63502418977786e-54,1.15523438915983,0.453,0.24,7.62193371909354e-50,"E11.5","Ddx39a"
5.77985031565979e-54,1.08213284176435,0.543,0.329,7.81782553696143e-50,"E11.5","Anapc13"
5.80746073628255e-54,0.805617032131718,0.888,0.75,7.85517139189578e-50,"E11.5","Ildr2"
6.37723217114234e-54,1.24655588581226,0.799,0.686,8.62584423468713e-50,"E11.5","Eya2"
9.2565512661413e-54,0.762789185565731,0.825,0.663,1.25204112425827e-49,"E11.5","Rrp1"
1.14081856703777e-53,0.805939353049992,0.958,0.898,1.54307119377529e-49,"E11.5","Lgr4"
1.17951556729488e-53,0.910524533784612,0.594,0.37,1.59541275632305e-49,"E11.5","Rpl36al"
2.8875108660057e-53,0.902848677007734,0.993,0.949,3.90564719735931e-49,"E11.5","Ccnd2"
3.69909335993495e-53,0.96100359562928,0.505,0.284,5.00339367864802e-49,"E11.5","Mcm2"
4.95517996144731e-53,0.838199669489464,0.76,0.577,6.70237641585363e-49,"E11.5","Fam104a"
5.23438281716499e-53,1.20214603712467,0.352,0.157,7.08002619849737e-49,"E11.5","Dancr"
5.9845832049613e-53,0.839228794081704,0.691,0.464,8.09474724303065e-49,"E11.5","Spag5"
6.04983424676375e-53,0.837783600629651,0.676,0.46,8.18300580217265e-49,"E11.5","Atp5d"
7.22189495283099e-53,0.941849062253869,0.571,0.345,9.7683351131992e-49,"E11.5","Troap"
8.31971608733722e-53,1.36885403085509,0.344,0.152,1.12532479797323e-48,"E11.5","Pdzph1"
1.03941361566818e-52,0.943790076278201,0.587,0.365,1.40591085655277e-48,"E11.5","Chek2"
1.15230169470785e-52,0.942799705742897,0.556,0.332,1.55860327226183e-48,"E11.5","Spdl1"
1.42307888721553e-52,0.815547738480356,0.723,0.507,1.92485650284772e-48,"E11.5","Ticrr"
1.53310129298845e-52,1.8846739536911,0.28,0.111,2.07367280889618e-48,"E11.5","Ret"
1.72650055141387e-52,0.866040188488708,0.679,0.466,2.3352646458424e-48,"E11.5","Dlgap5"
2.00888847515799e-52,1.01623953755256,0.492,0.28,2.71722255149869e-48,"E11.5","Taf13"
