"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptpn14",1.32430774232533e-33,1.20416736936189,0.535,0.249,1.34946958942951e-29,"0","Ptpn14"
"Colec12",1.63993227022944e-33,0.798086362106017,0.77,0.47,1.6710909833638e-29,"0","Colec12"
"Tbx15",1.9991106318885e-33,1.75789211940539,0.518,0.248,2.03709373389438e-29,"0","Tbx15"
"Nr3c1",2.16839488761467e-33,1.1735775270015,0.576,0.293,2.20959439047935e-29,"0","Nr3c1"
"Ptn",2.2665440191386e-33,0.986371299311591,0.968,0.927,2.30960835550223e-29,"0","Ptn"
"Wls",3.31877540516627e-33,0.935224119551425,0.68,0.393,3.38183213786443e-29,"0","Wls"
"Efna5",3.57439266272474e-33,0.516502102148574,0.994,0.99,3.64230612331651e-29,"0","Efna5"
"Daam2",5.88552291129093e-33,1.50196422268117,0.437,0.178,5.99734784660546e-29,"0","Daam2"
"Eln",8.18574577385093e-33,1.76524392544829,0.388,0.149,8.34127494355409e-29,"0","Eln"
"Arhgap10",1.50574166036173e-32,0.998532554290488,0.687,0.424,1.53435075190861e-28,"0","Arhgap10"
"Arhgap42",3.27994979948738e-32,0.944108952013838,0.719,0.459,3.34226884567764e-28,"0","Arhgap42"
"Smad6",3.8610036920217e-32,1.4087948260543,0.452,0.192,3.93436276217011e-28,"0","Smad6"
"Lox",6.66746823127799e-32,1.85708413112953,0.324,0.103,6.79415012767227e-28,"0","Lox"
"Adamts1",8.61655182433868e-32,1.54521147016252,0.407,0.159,8.78026630900112e-28,"0","Adamts1"
"Mmp2",1.01724657800817e-31,1.42745793867038,0.388,0.141,1.03657426299032e-27,"0","Mmp2"
"Egfl6",1.45074063657175e-31,1.70538820455774,0.363,0.13,1.47830470866661e-27,"0","Egfl6"
"Igf2",3.13985650180089e-31,1.13986865186709,0.514,0.23,3.19951377533511e-27,"0","Igf2"
"Runx1",4.51900647241441e-31,1.09845876817591,0.573,0.282,4.60486759539029e-27,"0","Runx1"
"Lamb1",4.58625610306103e-31,1.02375191174752,0.685,0.411,4.67339496901919e-27,"0","Lamb1"
"Sec24d",5.86005590457202e-31,1.10775374209817,0.546,0.263,5.97139696675889e-27,"0","Sec24d"
"Dse",9.71497274682506e-31,1.37666256266542,0.448,0.193,9.89955722901474e-27,"0","Dse"
"Tenm3",1.16943048218519e-30,0.540670644842045,0.996,0.994,1.19164966134671e-26,"0","Tenm3"
"Akap13",1.4204451794502e-30,0.724279533290009,0.885,0.764,1.44743363785976e-26,"0","Akap13"
"Frmd6",1.64701084845928e-30,1.06454466280455,0.574,0.3,1.67830405458001e-26,"0","Frmd6"
"Pgm5",2.66117521234321e-30,1.41507421421455,0.48,0.22,2.71173754137773e-26,"0","Pgm5"
"Timp2",3.78875606849932e-30,0.942230855446921,0.653,0.407,3.8607424338008e-26,"0","Timp2"
"Fgf10",4.25422404103693e-30,1.90622529929012,0.354,0.131,4.33505429781663e-26,"0","Fgf10"
"Wipf1",4.34240538913231e-30,1.00227364455398,0.653,0.382,4.42491109152583e-26,"0","Wipf1"
"Capn6",4.87907724217322e-30,1.46133236338983,0.405,0.162,4.97177970977451e-26,"0","Capn6"
"Stk3",5.31047983768864e-30,0.8275510203653,0.832,0.671,5.41137895460473e-26,"0","Stk3"
"Tmem164",5.79324041696632e-30,0.789907652523006,0.874,0.748,5.90331198488868e-26,"0","Tmem164"
"Plekhg1",6.91846075254162e-30,0.982946015957737,0.697,0.454,7.04991150683991e-26,"0","Plekhg1"
"Osr1",7.13098885200825e-30,1.78655654544742,0.301,0.094,7.26647764019641e-26,"0","Osr1"
"Ntf3",7.38850880040321e-30,1.91928182486072,0.316,0.105,7.52889046761087e-26,"0","Ntf3"
"Prkg1",7.51902847143745e-30,0.523055115672436,0.994,0.973,7.66189001239476e-26,"0","Prkg1"
"Fkbp9",9.15600255311491e-30,1.2017619659324,0.493,0.235,9.32996660162409e-26,"0","Fkbp9"
"Abi3bp",9.78389768936883e-30,1.57749477149754,0.441,0.196,9.96979174546684e-26,"0","Abi3bp"
"Eda",1.08916846080826e-29,0.976369184363391,0.77,0.558,1.10986266156362e-25,"0","Eda"
"S1pr3",1.9621810131602e-29,1.66129175046235,0.303,0.094,1.99946245241025e-25,"0","S1pr3"
"Aspn",2.211028158216e-29,1.90761672348605,0.311,0.103,2.2530376932221e-25,"0","Aspn"
"Lama4",2.30453952028214e-29,0.837691448126495,0.795,0.546,2.3483257711675e-25,"0","Lama4"
"Epb41l2",2.33694429046098e-29,0.931193887413197,0.718,0.466,2.38134623197974e-25,"0","Epb41l2"
"Sulf2",2.44213419845347e-29,1.09358760299694,0.635,0.382,2.48853474822408e-25,"0","Sulf2"
"Gli3",5.15923719495454e-29,0.540340982290242,0.93,0.801,5.25726270165867e-25,"0","Gli3"
"Rest",5.45092159082396e-29,0.955102774590441,0.608,0.339,5.55448910104961e-25,"0","Rest"
"Six1",5.5750214213052e-29,1.44572442705473,0.38,0.148,5.68094682831e-25,"0","Six1"
"Tnc",5.92406384990506e-29,1.09886628544988,0.576,0.31,6.03662106305326e-25,"0","Tnc"
"Igsf10",8.67920110585204e-29,1.45655510959626,0.401,0.168,8.84410592686323e-25,"0","Igsf10"
"Serpinh1",1.19168871170434e-28,0.716896294598873,0.736,0.46,1.21433079722673e-24,"0","Serpinh1"
"Mkx",1.22645941708808e-28,1.72145869518739,0.305,0.1,1.24976214601275e-24,"0","Mkx"
"Eya1",1.83740848667675e-28,1.41530573601805,0.616,0.373,1.87231924792361e-24,"0","Eya1"
"Rai14",1.8900625038899e-28,0.846074710631779,0.812,0.656,1.92597369146381e-24,"0","Rai14"
"Tnfaip8",2.65411726897204e-28,1.04418540345849,0.552,0.286,2.7045454970825e-24,"0","Tnfaip8"
"Plod2",3.55615941730138e-28,0.973131660131532,0.635,0.379,3.6237264462301e-24,"0","Plod2"
"Pax9",9.15787956646409e-28,2.11050098593329,0.301,0.103,9.33187927822691e-24,"0","Pax9"
"Pcdh18",9.81842533164917e-28,1.21214453401063,0.495,0.246,1.00049754129505e-23,"0","Pcdh18"
"Arid5b",1.17706676041304e-27,0.804599930487632,0.87,0.804,1.19943102886088e-23,"0","Arid5b"
"Cped1",1.21433166902821e-27,1.14545379202502,0.678,0.454,1.23740397073975e-23,"0","Cped1"
"Cxcl12",1.2484797164567e-27,1.26384935642923,0.443,0.197,1.27220083106938e-23,"0","Cxcl12"
"Itga8",1.25412314347945e-27,1.46301740065407,0.439,0.201,1.27795148320556e-23,"0","Itga8"
"Prdm5",1.29161824555059e-27,0.844884665722813,0.633,0.353,1.31615899221605e-23,"0","Prdm5"
"Myo1e",1.43684282307795e-27,1.14420428960149,0.533,0.292,1.46414283671643e-23,"0","Myo1e"
"Rspo3",2.12075139125174e-27,1.01590605365264,0.478,0.227,2.16104566768552e-23,"0","Rspo3"
"Ogn",2.80126906964807e-27,1.34611582666686,0.469,0.229,2.85449318197139e-23,"0","Ogn"
"Trps1",3.08207658305603e-27,1.18912298249369,0.945,0.912,3.1406360381341e-23,"0","Trps1"
"Nhs",3.4661146947226e-27,0.742453867938795,0.9,0.873,3.53197087392233e-23,"0","Nhs"
"Twist2",3.60272276813398e-27,1.4628977659329,0.354,0.132,3.67117450072852e-23,"0","Twist2"
"Mdfic",3.77670054666035e-27,1.13385147321067,0.465,0.217,3.84845785704689e-23,"0","Mdfic"
"Fzd2",5.20782176220022e-27,1.08715654790731,0.529,0.289,5.30677037568202e-23,"0","Fzd2"
"Ppfibp2",7.50901665345022e-27,1.68271499391245,0.307,0.106,7.65168796986577e-23,"0","Ppfibp2"
"Kctd12",7.88350090071112e-27,1.2380510356538,0.456,0.217,8.03328741782463e-23,"0","Kctd12"
"Wwc2",1.07165184296496e-26,0.799475517580923,0.753,0.541,1.09201322798129e-22,"0","Wwc2"
"Add3",1.07307187859607e-26,0.810847749914306,0.719,0.469,1.09346024428939e-22,"0","Add3"
"Nfatc1",1.75823895060092e-26,1.52766604059091,0.322,0.115,1.79164549066234e-22,"0","Nfatc1"
"Lrp5",4.41523737922873e-26,1.23912566888106,0.439,0.202,4.49912688943408e-22,"0","Lrp5"
"Adgra2",6.30227221376656e-26,1.21798541259969,0.394,0.163,6.42201538582812e-22,"0","Adgra2"
"Anxa6",6.81822370165424e-26,0.954493856355271,0.567,0.3,6.94776995198567e-22,"0","Anxa6"
"Il6st",8.30135246320187e-26,1.05517751445405,0.582,0.342,8.45907816000271e-22,"0","Il6st"
"Rflnb",8.90462670184803e-26,1.41941314993888,0.384,0.165,9.07381460918315e-22,"0","Rflnb"
"Fgfr1",9.30875170336235e-26,0.889898948144072,0.748,0.534,9.48561798572623e-22,"0","Fgfr1"
"Elk3",1.03355817106851e-25,1.06882262214257,0.529,0.283,1.05319577631881e-21,"0","Elk3"
"Rarb",1.25679807756704e-25,1.06413415523388,0.693,0.477,1.28067724104081e-21,"0","Rarb"
"Timp3",1.89795832221275e-25,1.08269232700928,0.563,0.325,1.9340195303348e-21,"0","Timp3"
"Iqgap2",2.15885437188289e-25,0.898610831107643,0.687,0.438,2.19987260494867e-21,"0","Iqgap2"
"Adamtsl1",2.69286132682089e-25,1.12769476422859,0.8,0.702,2.74402569203048e-21,"0","Adamtsl1"
"Fap",3.1690015585606e-25,1.3372601296988,0.401,0.179,3.22921258817325e-21,"0","Fap"
