"","Cavity","Muscle","Cartilage","Jaw and tooth","Liver","Brain","Spinal cord","Connective tissue","GI track","Heart","Dorsal root ganglia","Lung","Olfactory epithelium"
"Sox17(+)",-0.235069971269946,-0.292819363550509,-0.296483699341574,-0.297167464014967,-0.286518176712168,-0.292540600274951,-0.295805763647976,-0.16017413985551,-0.294714301501557,3.32567997647245,-0.293860102052691,-0.283358930235637,-0.297167464014967
"Sox2(+)",-0.107839376549157,-0.568729910558591,-0.277794018433514,-0.502118266484672,-0.44039024381279,3.04655714427217,-0.112072060357414,-0.301312797593863,-0.702160081683343,-0.153155471762042,-0.309642336163286,-0.511131072901514,0.939788492028019
"Sox4(+)",-0.0166159188346477,-0.312130456882116,-0.361491937060261,-0.893433138762579,-0.797806112516836,2.71562604824928,0.426330969836366,0.225257775947325,0.0160839345608248,-0.35885685632446,1.02844367362438,-1.10611576912808,-0.565292212709196
"Sox6(+)",-0.299513155344167,-0.302697040292088,2.77964297982463,0.593302640208998,0.10869163679161,-0.785148020696531,-1.56069911136532,0.177023710696817,-0.0487260491053434,-0.186590539639618,-0.627498455645447,0.394165548623132,-0.241954144056671
"Sox7(+)",2.62334622027424,-0.505734081183851,-0.446882734603711,-0.554994741741577,0.251580578523519,-0.39648786208921,-0.554994741741577,1.64290225609877,-0.554994741741577,0.0534690512856949,-0.447219719597573,-0.554994741741577,-0.554994741741577
"Sox9(+)",-0.224782532378307,-0.0554809864065765,3.01110600059801,0.887230028651325,-0.583117583696744,-0.364900959256128,-0.903521131655785,-0.246803669138461,0.0309847274485829,-0.397305289296185,-0.676265987246392,-0.160991932507395,-0.316150685115941
"Sp2(+)",-0.178631712009633,0.704740013197229,0.15193384199982,0.275900442542903,0.462831675125174,-1.97472115555042,-1.43839000518625,0.763472968257531,1.0573832282844,1.21405853085955,-0.82950192284434,0.703145922081771,-0.912221826757727
"Srebf1(+)",0.142743989190257,-0.316937323322498,-0.256451522664449,-0.389804912224968,3.28955853420636,-0.338883131972023,-0.368680843587644,-0.0724098840636061,-0.378704148070547,-0.258225079156325,-0.312764031597403,-0.331325423103276,-0.408116223633878
"Srebf2(+)",0.353651364391656,-0.772019340319376,-0.940943870127897,-1.4193602254004,-0.220597131977359,1.5299563995467,-0.661240316462162,0.0416651508312297,0.171783970363301,0.403066342793856,2.25125354881171,-0.465291006147893,-0.271924886303358
"Srf(+)",0.146632826616335,-0.344754054158902,-0.346380917424807,-0.310623508373656,-0.346380917424807,-0.325617413195291,-0.346380917424807,-0.029798523921335,-0.346380917424807,3.2888270950065,-0.346380917424807,-0.346380917424807,-0.346380917424807
"Stat1(+)",-0.176187182341737,-0.306967709110189,-0.359714562745587,-0.355156518903485,-0.207265854587157,-0.109531046757834,-0.0669293776595939,-0.287916761536237,-0.364139770062938,3.31017472372791,-0.335417859585014,-0.368932662181141,-0.372015418256996
