"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"30x17_9","51_3",73942.2771875545,8752,0.343648021084867,28333,6694,"12","Spall 3","18","Spall 3",2.30843680135164,13.222776373823,"11"
"30x31_9","51_3",55864.5663230941,8388,0.31337996530577,28789,7444,"14","Spall 1","5","Spall 1",1.7398170488722,9.77235631368058,"11"
"30x18_9","51_3",70817.4817487109,8757,0.382447270050361,28522,6909,"12","Spall 3","18","Spall 3",2.2103120144161,13.240045745257,"11"
"30x16_9","51_3",61486.6012787451,8378,0.287990753495799,28750,7096,"12","Spall 3","18","Spall 3",1.91836321014046,13.1664482853257,"11"
"25x28_9","51_3",36192.1595291838,7363,0.417815512070869,28522,6790,"21","Spall 1","5","Spall 1",1.12608824506316,19.345343231737,"5"
"25x30_9","51_3",58556.4310482262,8693,0.452051429439944,28839,7629,"24","Spall 1","5","Spall 1",1.82468002672271,19.7598530001067,"5"
"25x17_9","51_3",83318.8075474796,9146,0.337987769720049,28011,6448,"12","Spall 3","18","Spall 3",2.60359868051248,12.7636807981965,"11"
"25x14_9","51_3",59068.2783868224,8416,0.382080140601504,28737,7314,"12","Spall 3","18","Spall 3",1.84112340995878,12.9608072369164,"11"
"25x31_9","51_3",62827.7817991709,8828,0.518591714468386,28764,7562,"24","Spall 1","5","Spall 1",1.95947166823063,19.5692902240601,"5"
"25x21_9","51_3",23629.1732793849,6539,0.478942682555471,27279,6366,"21","Spall 3","18","Spall 3",0.733778101726005,12.4043567055927,"11"
"25x15_9","51_3",66785.8673420799,8740,0.427358238551764,28628,7087,"12","Spall 3","18","Spall 3",2.08389956819705,13.0433531917093,"11"
"25x16_9","51_3",72866.081044423,8854,0.405708852491008,28401,6882,"12","Spall 3","18","Spall 3",2.27476251652528,13.1143249433489,"11"
"25x20_9","51_3",38712.6924587843,7438,0.543057792215442,28722,6858,"7","Spall 3","18","Spall 3",1.20443057094075,12.5973482519389,"11"
"25x29_9","51_3",46576.4715597045,8069,0.470326019540344,28733,7373,"21","Spall 1","5","Spall 1",1.45001029452004,19.593827443394,"5"
"34x9_9","51_3",54108.555409031,8239,0.456963165207042,28667,7438,"20","Dpall 1","13","Dpall 1",1.6829267229635,15.0583099783773,"12"
"34x12_9","51_3",81266.4985619038,8721,0.207580513436986,27905,6187,"20","Dpall 1","13","Dpall 1",2.5381401549099,15.0301990523677,"12"
"34x17_9","51_3",62752.4417624944,8533,0.314438719837943,28621,7164,"12","Spall 2","17","Spall 2",1.95591208526957,12.7196839989602,"11"
"34x10_9","51_3",29845.4824488336,6935,0.456201123721924,27698,6797,"20","Dpall 1","13","Dpall 1",0.924893055927588,15.0476056136244,"12"
"34x11_9","51_3",57473.3355698246,8159,0.38030888609132,28676,7097,"20","Dpall 1","13","Dpall 1",1.78921020004874,15.0652223156968,"12"
"34x16_9","51_3",81939.5668876605,8903,0.284305383685126,27941,6321,"12","Spall 2","17","Spall 2",2.55943465120795,12.7003606463418,"11"
"34x8_9","51_3",48785.9616379606,7887,0.374844806500668,28444,7310,"20","Dpall 1","13","Dpall 1",1.5172013605019,15.3175922004636,"12"
"45x17_9","51_3",84735.0503834794,8742,0.235369899126727,27858,6160,"20","Dpall 1","13","Dpall 1",2.64927474505712,11.9862213929328,"7"
"45x14_9","51_3",26994.6544802216,6163,0.473356346852794,27377,6128,"20","Dpall 2","15","Dpall 2",0.839085056052013,15.0428513927244,"12"
"45x21_9","51_3",41799.873842783,7232,0.483177315469695,28975,6810,"10","Dpall 2","15","Dpall 2",1.30321687329383,15.0084117257853,"12"
"45x18_9","51_3",101038.318998282,9233,0.230733063124676,28032,6421,"20","Dpall 1","13","Dpall 1",3.16245320539962,11.9753671795825,"7"
"45x15_9","51_3",57423.8395748273,8022,0.359183940793299,28428,6991,"20","Dpall 1","13","Dpall 1",1.79062773308633,15.037687580822,"12"
"45x16_9","51_3",80843.4296905223,8704,0.277537891304503,27908,6264,"20","Dpall 1","13","Dpall 1",2.52670538840665,12.0497061774531,"7"
"45x20_9","51_3",67260.3717931697,8098,0.294098186054036,28359,6365,"7","Dpall 2","15","Dpall 2",2.1015714800657,14.7032912778949,"12"
"45x19_9","51_3",89104.426089485,8971,0.262284796050008,27900,6265,"20","Spall 2","17","Spall 2",2.78623993722268,12.180502715887,"7"
"21x19_9","51_3",19903.5945913057,6151,0.45866112019128,27200,6122,"15","Dpall 2","15","Dpall 2",0.616941878694248,18.7163395162829,"5"
"22x24_9","51_3",44140.698819112,7802,0.397972327766186,28596,7136,"21","Spall 1","5","Spall 1",1.37557405967937,12.330808408473,"11"
"22x22_9","51_3",57287.5495724449,8313,0.403216041110973,28749,7314,"12","Spall 3","18","Spall 3",1.78543011194849,12.7220430177963,"11"
"22x21_9","51_3",50274.092200303,7751,0.386976263223269,28677,6968,"19","Spall 3","18","Spall 3",1.56867356013358,12.2485190296436,"11"
"22x23_9","51_3",49098.8070096562,8018,0.419326625799479,28816,7387,"12","Spall 1","5","Spall 1",1.5294866468277,12.401194694194,"11"
"22x25_9","51_3",29250.9465364652,7060,0.476661956459028,27581,6763,"21","Spall 1","5","Spall 1",0.90892218370405,19.2215230395295,"5"
"41x17_9","51_3",59392.8464176754,8264,0.300728042977326,28670,7100,"20","Spall 2","17","Spall 2",1.84956560671599,10.2192972092771,"11"
"41x21_9","51_3",52147.9430636662,7746,0.333532193340076,28616,6889,"10","Spall 1","21","Spall 1",1.62370534272632,14.3095766943143,"12"
"41x10_9","51_3",27511.752983456,6356,0.342418595960496,27470,6321,"20","Dpall 2","15","Dpall 2",0.855024427541382,15.0161189836271,"12"
"41x11_9","51_3",56906.9280699645,7913,0.242407076830065,28476,6889,"20","Dpall 1","13","Dpall 1",1.77585388876121,14.5274063926266,"4"
"41x18_9","51_3",65434.2968944315,8379,0.315644208072997,28566,6847,"20","Spall 2","17","Spall 2",2.0399560440317,12.3450347668609,"11"
"41x16_9","51_3",40761.4232698456,7431,0.351666616561746,29111,7083,"20","Spall 2","17","Spall 2",1.26755804221485,12.1428062367104,"11"
"41x20_9","51_3",49325.9602773751,7584,0.395990084962215,28477,6838,"19","Spall 1","21","Spall 1",1.53509377750973,14.3323960069435,"12"
"41x19_9","51_3",53486.5015359174,8019,0.387575695675905,28607,7258,"12","Spall 2","17","Spall 2",1.66396328099394,12.4749886582041,"11"
"29x17_9","51_3",66554.0872585727,8528,0.271572474890622,28591,6930,"12","Spall 3","18","Spall 3",2.07816643457835,13.1509579199608,"11"
"29x31_9","51_3",49732.0504260428,8024,0.33890959206091,28814,7353,"14","Spall 1","5","Spall 1",1.54838708732893,10.808176206785,"7"
